Qty,Price (estimated),Extension,Item,Source
1,$539.99,$539.99,Kegco K209B-1 Full Size Kegerator - Single Faucet - D System - Black (package),http://www.amazon.com/gp/product/B00B8AAY66
1,$125.00,$125.00,Kegco K209B-1 shipping,http://www.amazon.com/gp/product/B00B8AAY66
1,$20.00,$20.00,"SBS Logo sticker - Large format (for front of kegerator 16"" x 20""",http://clubcardprinting.com/
4,$0.10,$0.40,Small screws to hold back plate to Head,
1,$2.07,$2.07,Tube clamps for beer tubing,http://www.amazon.com/Adjustable-Stainless-Steel-Drive-Clamp/dp/B008MLG8LE
1,$14.28,$14.28,"Plexi glass face plate (12"" x 12"" x 1/4"") and cut down to size",http://www.amazon.com/Source-Premium-Acrylic-PlexiGlass-S1-12x12-25/dp/B00844SOSE
1,$5.00,$5.00,Plumbers tape,http://www.amazon.com/Westbrass-D4301-40-2-Inch-260-Inch-Joint/dp/B00425YM9Y
2,$16.74,$33.48,"Jmf Hose Barb 1/4 "" Hose Barb X 1/4 "" Fpt Yellow Brass Bagged 150 Psi Lead Free",http://www.amazon.com/Hose-Barb-Yellow-Brass-Bagged/dp/B008ROUXG2
2,$18.39,$36.78,"Jmf Pipe Reducer 1/2 "" Fpt X 3/8 "" Mpt Yellow Brass Lead Free",http://www.amazon.com/Pipe-Reducer-Yellow-Brass-Lead/dp/B008ROWU5O
1,$250.00,$250.00,3D Printed case (5 STL files),Rough estimate using an oline service
1,$33.95,$33.95,Raspberry Pi 2 B,http://www.amazon.com/Raspberry-Pi-Model-Plus-512MB/dp/B00LPESRUK
1,$29.99,$29.99,GrovePi+ SKU: 103010002,http://www.dexterindustries.com/GrovePi/
1,$7.99,$7.99,Kootek� Micro USB Power Supply Wall Charger AC Adapter for Raspberry Pi 2 Model B+ B Plus - 5V 2A 6.5Ft,http://www.amazon.com/gp/product/B00NL7WK2U
1,$7.93,$7.93,DROK� Digital Mini Ampli Dual-Channel Two CH Amp 3W+3W Stereo 5V USB Power Audio Amplifier,http://www.amazon.com/gp/product/B00C4M6TGG
2,$2.29,$4.58,Mini Hobby Speaker - 2 inch 4 Ohm,http://www.amazon.com/Mini-Hobby-Speaker-inch-Ohms/dp/B007P44Y4W
1,$25.00,$25.00,Splice this cable to connect the Raspberry Pi to the amplifier,http://www.amazon.com/Valley-4-Pole-Reinforced-Premium-Quality/dp/B00C4GVOIU
1,$4.26,$4.26,niceEshop Mini 150M USB WiFi Wireless LAN 802.11 n/g/b Adapter with Antenna,http://www.amazon.com/gp/product/B008IZQCGK
1,$15.99,$15.99,"Liquid Flow Meter- Plastic 1/2"" NPS Threaded",http://www.amazon.com/gp/product/B00K0TFZN8
1,$4.90,$4.90,Grove - Sound Sensor SKU: SEN12945P,http://www.seeedstudio.com/depot/Grove-Sound-Sensor-p-752.html
1,$14.90,$14.90,Grove - Ultrasonic Ranger SKU: SEN10737P,http://www.seeedstudio.com/depot/Grove-Ultrasonic-Ranger-p-960.html
1,$1.90,$1.90,Grove - Button SKU: COM22242P,http://www.seeedstudio.com/depot/Grove-Button-p-766.html
1,$13.90,$13.90,Grove - LCD RGB Backlight SKU: 811004001,http://www.seeedstudio.com/depot/Grove-LCD-RGB-Backlight-p-1643.html
1,$1.90,$1.90,Grove - Red LED SKU: COM04054P,http://www.seeedstudio.com/depot/Grove-Red-LED-p-1142.html
1,$1.90,$1.90,Grove - Blue LED SKU: COM04051P,http://www.seeedstudio.com/depot/Grove-Blue-LED-p-1139.html
1,$1.90,$1.90,Grove - Green LED SKU: COM04053P,http://www.seeedstudio.com/depot/Grove-Green-LED-p-1144.html
1,$14.90,$14.90,Grove - Temperature&Humidity Sensor Pro SKU: SEN51035P,http://www.seeedstudio.com/depot/Grove-TemperatureHumidity-Sensor-Pro-p-838.html
1,$6.95,$6.95,Kingston Digital 16 GB Class 4 microSDHC Flash Card with SD Adapter,http://www.amazon.com/Kingston-Digital-microSDHC-SDC4-16GBET/dp/B00DYQYLQQ
1,$3.90,$3.90,Grove - Universal 4 Pin Buckled 50cm Cable (5 PCs Pack) SKU: ACC83057O,http://www.seeedstudio.com/depot/Grove-Universal-4-Pin-Buckled-50cm-Cable-5-PCs-Pack-p-928.html
1,$2.90,$2.90,Grove - Universal 4 Pin Buckled 20cm Cable (5 PCs pack) SKU: ACC90453O,http://www.seeedstudio.com/depot/Grove-Universal-4-Pin-Buckled-20cm-Cable-5-PCs-pack-p-936.html
,,"$1,226.64",,
